,year,affiliation,Organization,Department
"Miller, Gabriel A",2017,"Department of Organismic & Evolutionary Biology, Harvard University, 26 Oxford Street, Cambridge, Massachusetts 02138, USA.", Harvard University,Department of Organismic & Evolutionary Biology
"Ravenscraft, Alison",2017,"Department of Organismic & Evolutionary Biology, Harvard University, 26 Oxford Street, Cambridge, Massachusetts 02138, USA.", Harvard University,Department of Organismic & Evolutionary Biology
"Frederickson, Megan E",2017,"Department of Ecology and Evolutionary Biology, University of Toronto, Toronto, ON M5S, Canada.", University of Toronto,Department of Ecology and Evolutionary Biology
"Lukasik, Piotr",2018,"Department of Biology, Drexel University.
Division of Biological Sciences, University of Montana.", University of Montana.,"Department of Biology Drexel University.
Division of Biological Sciences"
"Knight, Rob",2020,"Department of Pediatrics, School of Medicine, University of California San Diego, La Jolla, California, USA sjsong@ucsd.edu valerie.mckenzie@colorado.edu robknight@ucsd.edu.
Department of Computer Science & Engineering, Jacobs School of Engineering, University of California San Diego, La Jolla, California, USA.
Center for Microbiome Innovation, University of California San Diego, La Jolla, California, USA.", University of California San Diego,Department of Pediatrics School of Medicine
"Thompson, Luke R",2019,"Department of Biological Sciences and Northern Gulf Institute, University of Southern Mississippi, Hattiesburg, MS, USA; Ocean Chemistry and Ecosystems Division, Atlantic Oceanographic and Meteorological Laboratory, National Oceanic and Atmospheric Administration, stationed at Southwest Fisheries Science Center, La Jolla, CA, USA.", University of Southern Mississippi,Department of Biological Sciences and Northern Gulf Institute
"McDonald, Daniel",2019,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics
"Amir, Amnon",2019,"Department of Pediatrics, University of California, San Diego, La Jolla, California, USA.", University of California,Department of Pediatrics
"Ladau, Joshua",2017,"The Gladstone Institutes and University of California San Francisco, San Francisco, California, USA.",The Gladstone Institutes and University of California San Francisco,
"Locey, Kenneth J",2017,"Department of Biology, Indiana University, Bloomington, Indiana, USA.", Indiana University,Department of Biology
"Prill, Robert J",2017,"Industrial and Applied Genomics, IBM Almaden Research Center, San Jose, California, USA.", IBM Almaden Research Center,Industrial and Applied Genomics
"Tripathi, Anupriya",2018,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics
"Gibbons, Sean M",2017,"Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA.
The Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA.", Massachusetts Institute of Technology,Department of Biological Engineering
"Ackermann, Gail",2018,"Department of Pediatrics, School of Medicine, University of California, San Diego, La Jolla, CA, USA.", School of Medicine,Department of Pediatrics
"Navas-Molina, Jose A",2018,"Department of Pediatrics, School of Medicine, University of California, San Diego, La Jolla, CA, USA.
Department of Computer Science and Engineering, University of California, San Diego, La Jolla, CA, USA.
Google LLC, Mountain View, CA, USA.", School of Medicine University of California,Department of Pediatrics
"Janssen, Stefan",2019,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.
Algorithmic Bioinformatics, Department of Biology and Chemistry, Justus Liebig University Gießen, Giessen, Germany.", University of California San Diego,Department of Pediatrics
"Kopylova, Evguenia",2019,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics
"Vázquez-Baeza, Yoshiki",2018,"Department of Pediatrics, School of Medicine, University of California, San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics School of Medicine
"González, Antonio",2017,"Department of Pediatrics, University of California San Diego, La Jolla, California, USA.", University of California San Diego,Department of Pediatrics
"Morton, James T",2019,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.
Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics
"Mirarab, Siavash",2019,"Malopolska Centre of Biotechnology, Jagiellonian University, Krakow, Poland.", Jagiellonian University,Malopolska Centre of Biotechnology
"Zech Xu, Zhenjiang",2017,"Department of Pediatrics, University of California San Diego, La Jolla, California, USA.", University of California San Diego,Department of Pediatrics
"Jiang, Lingjing",2017,"Department of Pediatrics, University of California San Diego, La Jolla, California, USA.
Department of Family Medicine and Public Health, University of California San Diego, La Jolla, California, USA.", University of California San Diego,Department of Pediatrics
"Haroon, Mohamed F",2017,"Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, Massachusetts, USA.", Harvard University,Department of Organismic and Evolutionary Biology
"Kanbar, Jad",2017,"Department of Pediatrics, University of California San Diego, La Jolla, California, USA.", University of California San Diego,Department of Pediatrics
"Zhu, Qiyun",2019,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics
"Jin Song, Se",2017,"Department of Pediatrics, University of California San Diego, La Jolla, California, USA.", University of California San Diego,Department of Pediatrics
"Kosciolek, Tomasz",2019,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.
Malopolska Centre of Biotechnology, Jagiellonian University, Krakow, Poland.", University of California San Diego,Department of Pediatrics
"Bokulich, Nicholas A",2017,"Pathogen and Microbiome Institute, Northern Arizona University, Flagstaff, Arizona, USA.", Northern Arizona University,Pathogen and Microbiome Institute
"Lefler, Joshua",2017,"Department of Pediatrics, University of California San Diego, La Jolla, California, USA.", University of California San Diego,Department of Pediatrics
"Brislawn, Colin J",2018,"Earth & Biological Sciences Directorate, Pacific Northwest National Laboratory, Richland, WA, USA.", Pacific Northwest National Laboratory,Earth & Biological Sciences Directorate
"Humphrey, Gregory",2020,"Department of Pediatrics, School of Medicine, University of California San Diego, La Jolla, California, USA.", School of Medicine University of California San Diego,Department of Pediatrics
"Owens, Sarah M",2017,"Biosciences Division, Argonne National Laboratory, Argonne, Illinois, USA.", Argonne National Laboratory,Biosciences Division
"Hampton-Marcell, Jarrad",2017,"Biosciences Division, Argonne National Laboratory, Argonne, Illinois, USA.
Department of Biological Sciences, University of Illinois at Chicago, Chicago, Illinois, USA.", Argonne National Laboratory,Biosciences Division
"Berg-Lyons, Donna",2017,"BioFrontiers Institute, University of Colorado, Boulder, Colorado, USA.", University of Colorado,BioFrontiers Institute
"McKenzie, Valerie",2017,"Department of Ecology and Evolutionary Biology, University of Colorado, Boulder, Colorado, USA.", University of Colorado,Department of Ecology and Evolutionary Biology
"Fierer, Noah",2019,"Department of Ecology & Evolutionary Biology, University of Colorado at Boulder, 216 UCB, Boulder, CO 80309, USA.
Cooperative Institute for Research in Environmental Sciences, University of Colorado at Boulder, CIRES Bldg. Rm. 318, Boulder, CO 80309, USA.", University of Colorado at Boulder,Department of Ecology & Evolutionary Biology
"Fuhrman, Jed A",2017,"Department of Biological Sciences, University of Southern California, Los Angeles, California, USA.", University of Southern California,Department of Biological Sciences
"Clauset, Aaron",2017,"BioFrontiers Institute, University of Colorado, Boulder, Colorado, USA.
Department of Computer Science, University of Colorado, Boulder, Colorado, USA.", University of Colorado Boulder,BioFrontiers Institute
"Stevens, Rick L",2017,"Computing, Environment and Life Sciences, Argonne National Laboratory, Argonne, Illinois, USA.
Department of Computer Science, University of Chicago, Chicago, Illinois, USA.", Argonne National Laboratory,Computing Environment and Life Sciences
"Shade, Ashley",2017,"Department of Microbiology and Molecular Genetics, Michigan State University, East Lansing, Michigan, USA.
Department of Plant, Soil and Microbial Sciences, Michigan State University, East Lansing, Michigan, USA.
Program in Ecology, Evolutionary Biology and Behavior, Michigan State University, East Lansing, Michigan, USA.", Michigan State University,Department of Microbiology and Molecular Genetics
"Pollard, Katherine S",2017,"The Gladstone Institutes and University of California San Francisco, San Francisco, California, USA.",The Gladstone Institutes and University of California San Francisco,The Gladstone Institutes and University of California San Francisco
"Goodwin, Kelly D",2017,"Ocean Chemistry and Ecosystems Division, Atlantic Oceanographic and Meteorological Laboratory, National Oceanic and Atmospheric Administration, stationed at Southwest Fisheries Science Center, La Jolla, California, USA.", Atlantic Oceanographic and Meteorological Laboratory National Oceanic and Atmospheric Administration,Ocean Chemistry and Ecosystems Division
"Jansson, Janet K",2017,"Earth and Biological Sciences Directorate, Pacific Northwest National Laboratory, Richland, Washington, USA.", Pacific Northwest National Laboratory,Earth and Biological Sciences Directorate
"Gilbert, Jack A",2020,"Department of Pediatrics, School of Medicine, University of California San Diego, La Jolla, California, USA.", University of California San Diego,Department of Pediatrics School of Medicine
"None, None",2017,,,
"Davenport, Emily R",2017,"Department of Molecular Biology and Genetics, Cornell University, Ithaca, NY, USA.", Cornell University,Department of Molecular Biology and Genetics
"Song, Se Jin",2020,"Department of Pediatrics, School of Medicine, University of California San Diego, La Jolla, California, USA sjsong@ucsd.edu valerie.mckenzie@colorado.edu robknight@ucsd.edu.", University of California San Diego,Department of Pediatrics School of Medicine
"Amato, Katherine R",2018,"Department of Anthropology, Northwestern University, Evanston, USA. Katherine.amato@northwestern.edu.", Northwestern University,Department of Anthropology
"Clark, Andrew G",2017,"Department of Molecular Biology and Genetics, Cornell University, Ithaca, NY, USA.", Cornell University,Department of Molecular Biology and Genetics
"Marotz, Clarisse A",2018,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.",Department of Pediatrics University of California San Diego,
"Zuniga, Cristal",2018,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics
"Zaramela, Livia S",2018,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics
"Zengler, Karsten",2018,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA. kzengler@ucsd.edu.
Center for Microbiome Innovation, University of California San Diego, La Jolla, CA, USA. kzengler@ucsd.edu.", University of California San Diego,Department of Pediatrics
"D'Amelio, Catherine L",2018,"Department of Biology, Drexel University, Philadelphia, PA, 19104, USA.", Drexel University,Department of Biology
"Millar, John S",2018,"Department of Medicine, Institute of Diabetes, Obesity and Metabolism, University of Pennsylvania, Philadelphia, PA, 19104, USA.", University of Pennsylvania,Department of Medicine Institute of Diabetes Obesity and Metabolism
"Vann, David R",2018,"Department of Earth and Environmental Science, University of Pennsylvania, Philadelphia, PA, 19104, USA.", University of Pennsylvania,Department of Earth and Environmental Science
"Lan, Yemin",2018,"School of Biomedical Engineering, Science and Health systems, Drexel University, Philadelphia, PA, 19104, USA.", Drexel University,School of Biomedical Engineering Science and Health systems
"Schotanus, Mark",2018,"Department of Biology, Calvin College, Grand Rapids, MI, 49546, USA.", Calvin College,Department of Biology
"Engel, Philipp",2018,"Department of Fundamental Microbiology, University of Lausanne, 1015, Lausanne, Switzerland.", University of Lausanne,Department of Fundamental Microbiology
"Vrbanac, Alison",2018,"Biomedical Sciences Graduate Program, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Biomedical Sciences Graduate Program
"Taylor, Bryn C",2018,"Biomedical Sciences Graduate Program, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Biomedical Sciences Graduate Program
"Aksenov, Alexander",2018,"Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Skaggs School of Pharmacy and Pharmaceutical Sciences
"Callewaert, Chris",2018,"Department of Pediatrics, School of Medicine, University of California San Diego, La Jolla, CA, USA.
Center for Microbial Ecology and Technology, Ghent University, Ghent, Belgium.", University of California San Diego,Department of Pediatrics School of Medicine
"Debelius, Justine",2018,"Department of Pediatrics, School of Medicine, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics School of Medicine
"Gonzalez, Antonio",2018,"Department of Pediatrics, School of Medicine, University of California, San Diego, La Jolla, CA, USA.", University of California,Department of Pediatrics School of Medicine
"McCall, Laura-Isobel",2018,"Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Skaggs School of Pharmacy and Pharmaceutical Sciences
"Melnik, Alexey V",2018,"Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Skaggs School of Pharmacy and Pharmaceutical Sciences
"Navas, Jose",2018,"Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Computer Science and Engineering
"Quinn, Robert A",2019,"Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California San Diego, La Jolla, CA, USA.
Department of Biochemistry and Molecular Biology, Michigan State University, East Lansing, MI, USA.", University of California San Diego,Skaggs School of Pharmacy and Pharmaceutical Sciences
"Swafford, Austin D",2018,"Center for Microbiome Innovation, University of California, San Diego, La Jolla, CA, USA.", University of California San Diego,Center for Microbiome Innovation
"Xu, Zhenjiang Z",2019,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics
"Zaneveld, Jesse R",2018,"Division of Biological Sciences, School of Science Technology Engineering and Math, University of Washington Bothell, Bothell, WA, USA.", University of Washington Bothell,Division of Biological Sciences School of Science Technology Engineering and Math
"Caporaso, J Gregory",2018,"Pathogen and Microbiome Institute, Northern Arizona University, Flagstaff, AZ, USA.
Department of Biological Sciences, Northern Arizona University, Flagstaff, AZ, USA.", Northern Arizona University,Pathogen and Microbiome Institute
"Dorrestein, Pieter C",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.
Institute for Genomic Medicine, University of California San Diego, La Jolla, CA, USA.
Collaborative Mass Spectrometry Innovation Center, Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California San Diego, La Jolla, CA, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Bisch, Gaelle",2018,"Cell and Molecular Biology, Science for Life Laboratory, Department of Molecular Evolution, Uppsala University, Sweden.", Department of Molecular Evolution Uppsala University,Cell and Molecular Biology Science for Life Laboratory
"Neuvonen, Minna-Maria",2018,"Cell and Molecular Biology, Science for Life Laboratory, Department of Molecular Evolution, Uppsala University, Sweden.", Uppsala University,Cell and Molecular Biology Science for Life Laboratory Department of Molecular Evolution
"Andersson, Siv G E",2018,"Cell and Molecular Biology, Science for Life Laboratory, Department of Molecular Evolution, Uppsala University, Sweden.", Uppsala University,Cell and Molecular Biology Science for Life Laboratory Department of Molecular Evolution
"G Sanders, Jon",2018,"Department of Pediatrics, University of California San Diego, San Diego, USA.
Center for Microbiome Research, University of California San Diego, San Diego, USA.", University of California San Diego,Department of Pediatrics
"Nute, Michael",2018,"Department of Statistics, University of Illinois at Urbana-Champaign, Urbana, USA.", University of Illinois at Urbana-Champaign,Department of Statistics
"Metcalf, Jessica L",2019,"11 Department of Animal Sciences, Colorado State University , Fort Collins CO 80523 , USA.", Colorado State University ,11 Department of Animal Sciences
"J McKenzie, Valerie",2018,"Department of Ecology and Evolutionary Biology, University of Colorado Boulder, Boulder, USA.", University of Colorado Boulder,Department of Ecology and Evolutionary Biology
"Gogul, Grant",2018,"BioFrontiers Institute, University of Colorado Boulder, Boulder, USA.", University of Colorado Boulder,BioFrontiers Institute
"Gaffney, James",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"L Baden, Andrea",2018,"Department of Anthropology, Hunter College of City University of New York, New York, USA.", Hunter College of City University of New York,Department of Anthropology
"A O Britton, Gillian",2018,"Department of Anthropology, Dartmouth College, Hanover, USA.", Dartmouth College,Department of AnthropologyDepartment of Anthropology
"P Cuozzo, Frank",2018,"Lajuma Research Centre, Louis Trichardt (Makhado), South Africa.",Lajuma Research Centre,Lajuma Research CentreLajuma Research Centre Louis Trichardt (Makhado) South Africa.
"Di Fiore, Anthony",2018,"Department of Anthropology, University of Texas Austin, Austin, USA.", University of Texas Austin,Department of Anthropology
"J Dominy, Nathaniel",2018,"Department of Anthropology, Dartmouth College, Hanover, USA.", Dartmouth College,Department of Anthropology
"L Goldberg, Tony",2018,"Department of Pathobiological Sciences, University of Wisconsin-Madison, Madison, USA.", University of Wisconsin-Madison,Department of Pathobiological Sciences
"Gomez, Andres",2018,"Department of Animal Sciences, University of Minnesota, Minneapolis, USA.", University of Minnesota,Department of Animal Sciences
"Kowalewski, Martin M",2018,"Estacion Biologica Corrientes (MACN-BR) - CONICET, Corrientes, Argentina.",Estacion Biologica Corrientes (MACN-BR) - CONICET,Estacion Biologica Corrientes (MACN-BR) - CONICETEstacion Biologica Corrientes (MACN-BR) - CONICET
"J Lewis, Rebecca",2018,"Department of Anthropology, University of Texas Austin, Austin, USA.", University of Texas Austin,Department of Anthropology
"Link, Andres",2018,"Department of Biological Sciences and School of Management, Universidad de los Andes, Bogota, Colombia.", Universidad de los Andes Bogota Colombia.,Department of Biological Sciences and School of Management
"L Sauther, Michelle",2018,"Department of Anthropology, University of Colorado Boulder, Boulder, USA.", University of Colorado Boulder,Department of Anthropology
"Tecot, Stacey",2018,"School of Anthropology, University of Arizona, Tucson, USA.", University of Arizona,School of Anthropology
"A White, Bryan",2018,"Department of Animal Sciences, University of Illinois at Urbana-Champaign, Urbana, USA.", University of Illinois at Urbana-Champaign,Department of Animal Sciences
"E Nelson, Karen",2018,"Departments of Human Biology and Genomic Medicine, J. Craig Venter Institute, La Jolla, CA, 92037, USA.", J. Craig Venter Institute,Departments of Human Biology and Genomic Medicine
"M Stumpf, Rebecca",2018,"Department of Anthropology, University of Illinois at Urbana-Champaign, Urbana, USA.", University of Illinois at Urbana-Champaign,Department of Anthropology
"R Leigh, Steven",2018,"Department of Anthropology, University of Colorado Boulder, Boulder, USA.", University of Colorado Boulder,Department of Anthropology
"Marotz, Clarisse",2018,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics
"Bouslimani, Amina",2019,"Collaborative Mass Spectrometry Innovation Center, Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, San Diego, CA, USA.", University of California San Diego,Collaborative Mass Spectrometry Innovation Center Skaggs School of Pharmacy and Pharmaceutical Sciences
"Smarr, Larry",2019,"Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA.
Center for Microbiome Innovation, University of California San Diego, La Jolla, CA, USA.
California Institute for Telecommunications and Information Technology, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Computer Science and Engineering
"Rubin, Benjamin E R",2018,"Lewis-Sigler Institute for Integrative Genomics, Princeton University, Princeton, NJ, USA.", Princeton University,Lewis-Sigler Institute for Integrative Genomics
"Turner, Kyle M",2018,"Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA, USA.
Howard Hughes Medical Institute, Harvard University, Cambridge, MA, USA.", Harvard University,Department of Organismic and Evolutionary Biology
"Kocher, Sarah D",2018,"Lewis-Sigler Institute for Integrative Genomics, Princeton University, Princeton, NJ, USA.
Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA, USA.", Princeton University,Lewis-Sigler Institute for Integrative Genomics
"DeReus, Jeff",2018,"Department of Pediatrics, School of Medicine, University of California, San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics School of Medicine
"Orchanian, Stephanie B",2018,"Center for Microbiome Innovation, University of California, San Diego, La Jolla, CA, USA.", University of California San Diego,Center for Microbiome Innovation
"Shorenstein, Joshua",2018,"Department of Pediatrics, School of Medicine, University of California, San Diego, La Jolla, CA, USA.
Inscripta, Inc., Boulder, CO, USA.", University of California San Diego,Department of Pediatrics School of Medicine
"Holste, Hannes",2018,"Department of Pediatrics, School of Medicine, University of California, San Diego, La Jolla, CA, USA.
Department of Computer Science and Engineering, University of California, San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics School of Medicine
"Petrus, Semar",2018,"Department of Biology, University of California, San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Biology
"Robbins-Pianka, Adam",2018,"Department of Computer Science, University of Colorado, Boulder, Boulder, CO, USA.", University of Colorado Boulder,Department of Computer Science
"Wang, Mingxun",2018,"Collaborative Mass Spectrometry Innovation Center, Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, La Jolla, CA, USA.", University of California San Diego,Collaborative Mass Spectrometry Innovation Center Skaggs School of Pharmacy and Pharmaceutical Sciences
"Rideout, Jai Ram",2018,"Pathogen and Microbiome Institute, Northern Arizona University, Flagstaff, AZ, USA.", Northern Arizona University,Pathogen and Microbiome Institute
"Bolyen, Evan",2018,"Pathogen and Microbiome Institute, Northern Arizona University, Flagstaff, AZ, USA.", Northern Arizona University,Pathogen and Microbiome Institute
"Dillon, Matthew",2018,"Pathogen and Microbiome Institute, Northern Arizona University, Flagstaff, AZ, USA.", Northern Arizona University,Pathogen and Microbiome Institute
"Lloyd, Colton J",2019,"Department of Bioengineering, University of California, San Diego, La Jolla, United States of America.", University of California San Diego,Department of Bioengineering
"King, Zachary A",2019,"Department of Bioengineering, University of California, San Diego, La Jolla, United States of America.", University of California San Diego,Department of Bioengineering
"Sandberg, Troy E",2019,"Department of Bioengineering, University of California, San Diego, La Jolla, United States of America.", University of California San Diego,Department of Bioengineering
"Hefner, Ying",2019,"Department of Bioengineering, University of California, San Diego, La Jolla, United States of America.", University of California San Diego,Department of Bioengineering
"Olson, Connor A",2019,"Department of Bioengineering, University of California, San Diego, La Jolla, United States of America.", University of California San Diego,Department of Bioengineering
"Phaneuf, Patrick V",2019,"Bioinformatics and Systems Biology Program, University of California, San Diego, La Jolla, United States of America.", University of California San Diego,Bioinformatics and Systems Biology Program
"O'Brien, Edward J",2019,"Bioinformatics and Systems Biology Program, University of California, San Diego, La Jolla, United States of America.", University of California San Diego,Bioinformatics and Systems Biology Program
"Salido, Rodolfo A",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Sanders, Karenina",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Brennan, Caitriona",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Feist, Adam M",2019,"Department of Bioengineering, University of California, San Diego, La Jolla, United States of America.
Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark, Denmark.", University of California San Diego,Department of Bioengineering
"Hammer, Tobin J",2019,"Department of Integrative Biology, University of Texas at Austin, 2506 Speedway, NMS 4.216, Austin, TX 78712, USA.", University of Texas at Austin,Department of Integrative Biology
"Baldassarre, Daniel T",2019,"3 Department of Biology, University of Miami , Coral Gables, FL 33146 , USA.", University of Miami ,3 Department of Biology
"Chaves, Jaime A",2019,"4 Colegio de Ciencias Biológicas y Ambientales, Universidad San Francisco de Quito, Quito, Ecuador.
5 Galápagos Science Center, Puerto Baquerizo Moreno, Galápagos, Ecuador.", Universidad San Francisco de Quito Quito,4 Colegio de Ciencias Biológicas y Ambientales
"Johnson, Nicholas S",2019,"6 United States Geological Survey, Great Lakes Science Center , Hammond Bay Biological Station, Millersburg, MI 49759 , USA.", Hammond Bay Biological Station,6 United States Geological Survey Great Lakes Science Center 
